Recall ID,Date,Month,Year,Product Category,Company,Product Name,Root Cause,Recall Class,Class Description,Severity Score (1-3),Root Cause Risk Weight (1-10),Composite Risk Score,Province,Recall Description
RC-0563,2023-07-04,2023-07,2023,Seafood,Clearwater Seafoods,Clearwater Seafoods Crab Cakes,Labelling error,Class II,Temporary adverse health consequences unlikely to be serious,2,4,0.8,British Columbia,Clearwater Seafoods is recalling Crab Cakes due to a labelling error. The label does not accurately reflect the contents of the package.
RC-0741,2023-07-08,2023-07,2023,Dietary Supplements,Organika,Organika Magnesium,Packaging failure,Class III,Unlikely to cause adverse health consequences,1,5,0.5,Quebec,Organika is recalling Magnesium due to a packaging defect that may compromise product integrity.
RC-0598,2023-07-12,2023-07,2023,Dairy and Eggs,Parmalat Canada,Parmalat Canada Egg Product,Undeclared allergen,Class I,Serious health risk or death,3,9,2.7,Ontario,Parmalat Canada is recalling Egg Product due to undeclared mustard. People with an allergy to mustard should not consume this product.
RC-0120,2023-07-17,2023-07,2023,Pharmaceuticals,Pendopharm,Pendopharm Acetaminophen,Process deviation,Class III,Unlikely to cause adverse health consequences,1,6,0.6,Quebec,Pendopharm is recalling Acetaminophen because a deviation from standard manufacturing practice occurred during production.
RC-0154,2023-07-20,2023-07,2023,Prepared and Packaged Foods,Conagra Brands Canada,Conagra Brands Canada Ready Meal,Labelling error,Class I,Serious health risk or death,3,4,1.2,Alberta,Recall of Ready Meal by Conagra Brands Canada because the product label contains incorrect information regarding storage instructions.
RC-0606,2023-07-24,2023-07,2023,Prepared and Packaged Foods,Conagra Brands Canada,Conagra Brands Canada Pasta Sauce,Labelling error,Class II,Temporary adverse health consequences unlikely to be serious,2,4,0.8,Quebec,Conagra Brands Canada is recalling Pasta Sauce due to a labelling error. The label does not accurately reflect the contents of the package.
RC-0502,2023-07-30,2023-07,2023,Dairy and Eggs,Organic Meadow,Organic Meadow Sour Cream,Undeclared allergen,Class II,Temporary adverse health consequences unlikely to be serious,2,9,1.8,Ontario,Organic Meadow is conducting a voluntary recall of Sour Cream due to the possible presence of undeclared fish.
RC-0095,2023-07-31,2023-07,2023,Dairy and Eggs,Organic Meadow,Organic Meadow Butter,Labelling error,Class III,Unlikely to cause adverse health consequences,1,4,0.4,Alberta,Recall of Butter by Organic Meadow because the product label contains incorrect information regarding serving size.
RC-0512,2023-07-31,2023-07,2023,Seafood,True North Salmon,True North Salmon Shrimp,Process deviation,Class II,Temporary adverse health consequences unlikely to be serious,2,6,1.2,Alberta,True North Salmon is recalling Shrimp because the product was not processed in accordance with approved manufacturing procedures.
RC-0788,2023-08-06,2023-08,2023,Dietary Supplements,Jamieson Wellness,Jamieson Wellness Magnesium,Chemical contamination,Class I,Serious health risk or death,3,8,2.4,Ontario,Jamieson Wellness is recalling Magnesium due to elevated levels of lead.
RC-0714,2023-08-21,2023-08,2023,Dairy and Eggs,Lactalis Canada,Lactalis Canada Whole Milk,Labelling error,Class III,Unlikely to cause adverse health consequences,1,4,0.4,National,Lactalis Canada is recalling Whole Milk due to a labelling error. The label does not accurately reflect the contents of the package.
RC-0420,2023-08-29,2023-08,2023,Dietary Supplements,Naturo Sciences,Naturo Sciences Collagen,Chemical contamination,Class I,Serious health risk or death,3,8,2.4,Alberta,Recall of Collagen by Naturo Sciences because the product may contain pesticide residues at levels that exceed Health Canada guidelines.
RC-0174,2023-09-02,2023-09,2023,Fruits and Vegetables,Pacific Coast Fruit,Pacific Coast Fruit Cucumber,Foreign material,Class II,Temporary adverse health consequences unlikely to be serious,2,7,1.4,Quebec,Pacific Coast Fruit is recalling Cucumber due to the possible presence of plastic pieces.
RC-0495,2023-09-07,2023-09,2023,Pharmaceuticals,Pharmavite,Pharmavite Acetaminophen,Labelling error,Class I,Serious health risk or death,3,4,1.2,Prince Edward Island,Recall of Acetaminophen by Pharmavite because the product label contains incorrect information regarding net weight.
RC-0649,2023-09-08,2023-09,2023,Pharmaceuticals,Paladin Labs,Paladin Labs Ibuprofen Tablets,Labelling error,Class I,Serious health risk or death,3,4,1.2,Quebec,Recall of Ibuprofen Tablets by Paladin Labs because the product label contains incorrect information regarding net weight.
RC-0043,2023-09-11,2023-09,2023,Bakery and Snacks,Leclerc Group,Leclerc Group Potato Chips,Microbiological contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,10,2.0,Manitoba,Leclerc Group is recalling certain lots of Potato Chips due to possible Clostridium perfringens contamination detected during routine testing.
RC-0216,2023-09-12,2023-09,2023,Meat and Poultry,Sun Rise Poultry,Sun Rise Poultry Chicken Breast,Process deviation,Class III,Unlikely to cause adverse health consequences,1,6,0.6,Ontario,Recall of Chicken Breast due to a process deviation during manufacturing that may affect product safety.
RC-0439,2023-09-19,2023-09,2023,Dietary Supplements,CanPrev Natural Health,CanPrev Natural Health Collagen,Undeclared sulphites,Class II,Temporary adverse health consequences unlikely to be serious,2,6,1.2,New Brunswick,CanPrev Natural Health is conducting a voluntary recall of Collagen due to possible undeclared sulphites.
RC-0471,2023-09-19,2023-09,2023,Meat and Poultry,Sun Rise Poultry,Sun Rise Poultry Turkey Cold Cuts,Microbiological contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,10,2.0,Ontario,Recall of Turkey Cold Cuts because of potential contamination with E. coli O157:H7. Consumers should not consume this product.
RC-0429,2023-09-20,2023-09,2023,Seafood,Clearwater Seafoods,Clearwater Seafoods Fish and Chips,Labelling error,Class III,Unlikely to cause adverse health consequences,1,4,0.4,British Columbia,Clearwater Seafoods is recalling Fish and Chips due to a labelling error. The label does not accurately reflect the contents of the package.
RC-0435,2023-09-22,2023-09,2023,Prepared and Packaged Foods,McCain Foods,McCain Foods Chicken Soup,Labelling error,Class I,Serious health risk or death,3,4,1.2,British Columbia,Recall of Chicken Soup by McCain Foods because the product label contains incorrect information regarding nutritional information.
RC-0112,2023-09-23,2023-09,2023,Medical Devices,Cardinal Health Canada,Cardinal Health Canada Surgical Mask,Process deviation,Class I,Serious health risk or death,3,6,1.8,Quebec,Cardinal Health Canada is recalling Surgical Mask because a deviation from standard manufacturing practice occurred during production.
RC-0103,2023-09-26,2023-09,2023,Meat and Poultry,Maple Leaf Foods,Maple Leaf Foods Ground Beef,Microbiological contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,10,2.0,Alberta,Maple Leaf Foods is recalling certain lots of Ground Beef due to possible Salmonella contamination detected during routine testing.
RC-0653,2023-09-26,2023-09,2023,Seafood,High Liner Foods,High Liner Foods Fish and Chips,Microbiological contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,10,2.0,Ontario,High Liner Foods is recalling Fish and Chips due to possible E. coli O157:H7 contamination.
RC-0024,2023-10-03,2023-10,2023,Fruits and Vegetables,Pacific Coast Fruit,Pacific Coast Fruit Spinach,Mislabelling of ingredients,Class III,Unlikely to cause adverse health consequences,1,4,0.4,Ontario,Recall of Spinach due to incorrect ingredient declaration on the label.
RC-0096,2023-10-03,2023-10,2023,Prepared and Packaged Foods,General Mills Canada,General Mills Canada Chicken Soup,Labelling error,Class III,Unlikely to cause adverse health consequences,1,4,0.4,Ontario,General Mills Canada is recalling Chicken Soup due to a labelling error. The label does not accurately reflect the contents of the package.
RC-0136,2023-10-06,2023-10,2023,Seafood,Clearwater Seafoods,Clearwater Seafoods Smoked Salmon,Mislabelling of ingredients,Class III,Unlikely to cause adverse health consequences,1,4,0.4,British Columbia,Clearwater Seafoods is recalling Smoked Salmon because the product contains ingredients not listed on the label.
RC-0252,2023-10-06,2023-10,2023,Dairy and Eggs,Parmalat Canada,Parmalat Canada Whole Milk,Undeclared allergen,Class III,Unlikely to cause adverse health consequences,1,9,0.9,British Columbia,Parmalat Canada is recalling Whole Milk due to undeclared wheat. People with an allergy to wheat should not consume this product.
RC-0485,2023-10-09,2023-10,2023,Dairy and Eggs,Gay Lea Foods,Gay Lea Foods Whole Milk,Labelling error,Class I,Serious health risk or death,3,4,1.2,Alberta,Gay Lea Foods is recalling Whole Milk because the product was labelled with incorrect nutritional information information.
RC-0656,2023-10-11,2023-10,2023,Beverages,Andrew Peller,Andrew Peller Smoothie,Packaging failure,Class II,Temporary adverse health consequences unlikely to be serious,2,5,1.0,Ontario,Andrew Peller is recalling Smoothie due to a packaging defect that may compromise product integrity.
RC-0812,2023-10-11,2023-10,2023,Prepared and Packaged Foods,Cavendish Farms,Cavendish Farms Frozen Lasagna,Undeclared allergen,Class I,Serious health risk or death,3,9,2.7,British Columbia,Cavendish Farms is recalling Frozen Lasagna due to undeclared wheat. People with an allergy to wheat should not consume this product.
RC-0368,2023-10-15,2023-10,2023,Bakery and Snacks,Leclerc Group,Leclerc Group Muffins,Undeclared allergen,Class I,Serious health risk or death,3,9,2.7,Ontario,Leclerc Group is conducting a voluntary recall of Muffins due to the possible presence of undeclared fish.
RC-0276,2023-10-18,2023-10,2023,Dairy and Eggs,Gay Lea Foods,Gay Lea Foods Egg Product,Microbiological contamination,Class I,Serious health risk or death,3,10,3.0,Manitoba,Recall of Egg Product because of potential contamination with E. coli O157:H7. Consumers should not consume this product.
RC-0727,2023-10-25,2023-10,2023,Dairy and Eggs,Saputo Inc.,Saputo Inc. Brie,Chemical contamination,Class I,Serious health risk or death,3,8,2.4,Ontario,Saputo Inc. is recalling Brie due to elevated levels of pesticide residues.
RC-0242,2023-10-26,2023-10,2023,Dietary Supplements,CanPrev Natural Health,CanPrev Natural Health Protein Powder,Packaging failure,Class I,Serious health risk or death,3,5,1.5,Quebec,"CanPrev Natural Health is recalling Protein Powder because the packaging may be compromised, potentially affecting product safety."
RC-0341,2023-10-26,2023-10,2023,Dairy and Eggs,Parmalat Canada,Parmalat Canada Egg Product,Process deviation,Class I,Serious health risk or death,3,6,1.8,Alberta,Recall of Egg Product due to a process deviation during manufacturing that may affect product safety.
RC-0281,2023-10-27,2023-10,2023,Seafood,True North Salmon,True North Salmon Tuna,Process deviation,Class III,Unlikely to cause adverse health consequences,1,6,0.6,British Columbia,Recall of Tuna due to a process deviation during manufacturing that may affect product safety.
RC-0782,2023-10-28,2023-10,2023,Meat and Poultry,Sun Rise Poultry,Sun Rise Poultry Ground Beef,Microbiological contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,10,2.0,Ontario,Sun Rise Poultry is recalling Ground Beef due to possible Salmonella contamination.
RC-0509,2023-10-29,2023-10,2023,Prepared and Packaged Foods,Cavendish Farms,Cavendish Farms Mac and Cheese,Chemical contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,8,1.6,Saskatchewan,Recall of Mac and Cheese by Cavendish Farms because the product may contain pesticide residues at levels that exceed Health Canada guidelines.
RC-0393,2023-11-01,2023-11,2023,Cosmetics and Personal Care,Procter and Gamble Canada,Procter and Gamble Canada Sunscreen,Foreign material,Class I,Serious health risk or death,3,7,2.1,Quebec,Procter and Gamble Canada is recalling Sunscreen due to the possible presence of wood splinters.
RC-0289,2023-11-02,2023-11,2023,Medical Devices,Medtronic Canada,Medtronic Canada Insulin Pump,Foreign material,Class III,Unlikely to cause adverse health consequences,1,7,0.7,Ontario,Medtronic Canada is recalling Insulin Pump after foreign material (plastic pieces) was found during production.
RC-0371,2023-11-02,2023-11,2023,Fruits and Vegetables,Mucci Farms,Mucci Farms Bean Sprouts,Process deviation,Class I,Serious health risk or death,3,6,1.8,Ontario,Recall of Bean Sprouts due to a process deviation during manufacturing that may affect product safety.
RC-0422,2023-11-02,2023-11,2023,Infant Formula and Baby Food,Gerber Canada,Gerber Canada Baby Cereal,Process deviation,Class II,Temporary adverse health consequences unlikely to be serious,2,6,1.2,Quebec,Gerber Canada is recalling Baby Cereal because the product was not processed in accordance with approved manufacturing procedures.
RC-0202,2023-11-07,2023-11,2023,Bakery and Snacks,Voortman Cookies,Voortman Cookies Potato Chips,Undeclared allergen,Class II,Temporary adverse health consequences unlikely to be serious,2,9,1.8,British Columbia,Recall of Potato Chips by Voortman Cookies because the product may contain undeclared peanuts which is not declared on the label.
RC-0814,2023-11-07,2023-11,2023,Infant Formula and Baby Food,Abbott Nutrition Canada,Abbott Nutrition Canada Pureed Vegetables,Labelling error,Class I,Serious health risk or death,3,4,1.2,Quebec,Recall of Pureed Vegetables by Abbott Nutrition Canada because the product label contains incorrect information regarding nutritional information.
RC-0764,2023-11-08,2023-11,2023,Prepared and Packaged Foods,McCain Foods,McCain Foods Pasta Sauce,Undeclared allergen,Class I,Serious health risk or death,3,9,2.7,British Columbia,Recall of Pasta Sauce by McCain Foods because the product may contain undeclared fish which is not declared on the label.
RC-0256,2023-11-09,2023-11,2023,Medical Devices,Becton Dickinson Canada,Becton Dickinson Canada Blood Glucose Monitor,Process deviation,Class II,Temporary adverse health consequences unlikely to be serious,2,6,1.2,Ontario,Becton Dickinson Canada is recalling Blood Glucose Monitor because the product was not processed in accordance with approved manufacturing procedures.
RC-0705,2023-11-12,2023-11,2023,Prepared and Packaged Foods,Bonduelle Americas,Bonduelle Americas Pasta Sauce,Undeclared allergen,Class III,Unlikely to cause adverse health consequences,1,9,0.9,Manitoba,Bonduelle Americas is recalling Pasta Sauce due to undeclared peanuts. People with an allergy to peanuts should not consume this product.
RC-0213,2023-11-14,2023-11,2023,Pharmaceuticals,Paladin Labs,Paladin Labs Antibiotic Capsules,Chemical contamination,Class I,Serious health risk or death,3,8,2.4,Alberta,Paladin Labs is recalling Antibiotic Capsules due to elevated levels of cadmium.
RC-0320,2023-11-14,2023-11,2023,Dietary Supplements,Jamieson Wellness,Jamieson Wellness Probiotic,Labelling error,Class II,Temporary adverse health consequences unlikely to be serious,2,4,0.8,British Columbia,Recall of Probiotic by Jamieson Wellness because the product label contains incorrect information regarding storage instructions.
RC-0635,2023-11-15,2023-11,2023,Beverages,Andrew Peller,Andrew Peller Apple Juice,Packaging failure,Class II,Temporary adverse health consequences unlikely to be serious,2,5,1.0,Alberta,Andrew Peller is recalling Apple Juice due to a packaging defect that may compromise product integrity.
RC-0759,2023-11-15,2023-11,2023,Meat and Poultry,Olymel,Olymel Turkey Cold Cuts,Process deviation,Class I,Serious health risk or death,3,6,1.8,Yukon,Olymel is recalling Turkey Cold Cuts because the product was not processed in accordance with approved manufacturing procedures.
RC-0410,2023-11-16,2023-11,2023,Cosmetics and Personal Care,Procter and Gamble Canada,Procter and Gamble Canada Mascara,Labelling error,Class II,Temporary adverse health consequences unlikely to be serious,2,4,0.8,British Columbia,Recall of Mascara by Procter and Gamble Canada because the product label contains incorrect information regarding storage instructions.
RC-0835,2023-11-17,2023-11,2023,Fruits and Vegetables,Mucci Farms,Mucci Farms Bagged Salad,Process deviation,Class III,Unlikely to cause adverse health consequences,1,6,0.6,Quebec,Mucci Farms is recalling Bagged Salad because the product was not processed in accordance with approved manufacturing procedures.
RC-0794,2023-11-18,2023-11,2023,Meat and Poultry,Maple Leaf Foods,Maple Leaf Foods Beef Patties,Packaging failure,Class III,Unlikely to cause adverse health consequences,1,5,0.5,British Columbia,Maple Leaf Foods is recalling Beef Patties due to a packaging defect that may compromise product integrity.
RC-0844,2023-11-19,2023-11,2023,Medical Devices,Stryker Canada,Stryker Canada Blood Glucose Monitor,Packaging failure,Class I,Serious health risk or death,3,5,1.5,Saskatchewan,Recall of Blood Glucose Monitor because of a seal failure that may allow contamination of the product.
RC-0668,2023-11-20,2023-11,2023,Fruits and Vegetables,Naturipe,Naturipe Cherry Tomatoes,Foreign material,Class II,Temporary adverse health consequences unlikely to be serious,2,7,1.4,British Columbia,Naturipe is recalling Cherry Tomatoes after foreign material (metal fragments) was found during production.
RC-0558,2023-11-21,2023-11,2023,Meat and Poultry,Olymel,Olymel Ground Beef,Microbiological contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,10,2.0,New Brunswick,Recall of Ground Beef because of potential contamination with E. coli O157:H7. Consumers should not consume this product.
RC-0029,2023-11-22,2023-11,2023,Cosmetics and Personal Care,Procter and Gamble Canada,Procter and Gamble Canada Body Lotion,Labelling error,Class I,Serious health risk or death,3,4,1.2,Alberta,Procter and Gamble Canada is recalling Body Lotion because the product was labelled with incorrect net weight information.
RC-0292,2023-11-22,2023-11,2023,Prepared and Packaged Foods,Cavendish Farms,Cavendish Farms Ready Meal,Process deviation,Class II,Temporary adverse health consequences unlikely to be serious,2,6,1.2,Quebec,Cavendish Farms is recalling Ready Meal because a deviation from standard manufacturing practice occurred during production.
RC-0318,2023-11-22,2023-11,2023,Dairy and Eggs,Organic Meadow,Organic Meadow Cheddar Cheese,Labelling error,Class II,Temporary adverse health consequences unlikely to be serious,2,4,0.8,Quebec,Organic Meadow is recalling Cheddar Cheese due to a labelling error. The label does not accurately reflect the contents of the package.
RC-0615,2023-11-22,2023-11,2023,Pharmaceuticals,Paladin Labs,Paladin Labs Antacid,Labelling error,Class I,Serious health risk or death,3,4,1.2,Manitoba,Recall of Antacid by Paladin Labs because the product label contains incorrect information regarding storage instructions.
RC-0414,2023-11-24,2023-11,2023,Prepared and Packaged Foods,General Mills Canada,General Mills Canada Frozen Pizza,Chemical contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,8,1.6,Saskatchewan,General Mills Canada is recalling Frozen Pizza due to the presence of benzene contamination.
RC-0492,2023-11-24,2023-11,2023,Medical Devices,Becton Dickinson Canada,Becton Dickinson Canada Infusion Pump,Microbiological contamination,Class I,Serious health risk or death,3,10,3.0,Quebec,Recall of Infusion Pump because of potential contamination with Salmonella. Consumers should not consume this product.
RC-0011,2023-11-28,2023-11,2023,Infant Formula and Baby Food,Heinz Canada,Heinz Canada Baby Yogurt,Process deviation,Class II,Temporary adverse health consequences unlikely to be serious,2,6,1.2,British Columbia,Heinz Canada is recalling Baby Yogurt because the product was not processed in accordance with approved manufacturing procedures.
RC-0322,2023-11-30,2023-11,2023,Fruits and Vegetables,Mucci Farms,Mucci Farms Romaine Lettuce,Process deviation,Class II,Temporary adverse health consequences unlikely to be serious,2,6,1.2,Quebec,Recall of Romaine Lettuce due to a process deviation during manufacturing that may affect product safety.
RC-0608,2023-11-30,2023-11,2023,Dairy and Eggs,Saputo Inc.,Saputo Inc. Sour Cream,Undeclared allergen,Class I,Serious health risk or death,3,9,2.7,Quebec,Saputo Inc. is conducting a voluntary recall of Sour Cream due to the possible presence of undeclared shellfish.
RC-0156,2023-12-03,2023-12,2023,Fruits and Vegetables,Pacific Coast Fruit,Pacific Coast Fruit Bagged Salad,Undeclared allergen,Class I,Serious health risk or death,3,9,2.7,Quebec,Pacific Coast Fruit is conducting a voluntary recall of Bagged Salad due to the possible presence of undeclared peanuts.
RC-0805,2023-12-04,2023-12,2023,Bakery and Snacks,Voortman Cookies,Voortman Cookies Potato Chips,Labelling error,Class I,Serious health risk or death,3,4,1.2,New Brunswick,Voortman Cookies is recalling Potato Chips due to a labelling error. The label does not accurately reflect the contents of the package.
RC-0266,2023-12-05,2023-12,2023,Meat and Poultry,HFS Canada,HFS Canada Ground Beef,Process deviation,Class I,Serious health risk or death,3,6,1.8,British Columbia,Recall of Ground Beef due to a process deviation during manufacturing that may affect product safety.
RC-0523,2023-12-05,2023-12,2023,Infant Formula and Baby Food,Heinz Canada,Heinz Canada Infant Formula,Chemical contamination,Class III,Unlikely to cause adverse health consequences,1,8,0.8,Quebec,Recall of Infant Formula by Heinz Canada because the product may contain mineral oil at levels that exceed Health Canada guidelines.
RC-0587,2023-12-05,2023-12,2023,Meat and Poultry,Olymel,Olymel Chicken Wings,Microbiological contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,10,2.0,Ontario,Olymel is recalling certain lots of Chicken Wings due to possible E. coli O157:H7 contamination detected during routine testing.
RC-0012,2023-12-06,2023-12,2023,Cosmetics and Personal Care,Reckitt Canada,Reckitt Canada Shampoo,Chemical contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,8,1.6,Quebec,Reckitt Canada is recalling Shampoo due to elevated levels of benzene.
RC-0527,2023-12-07,2023-12,2023,Infant Formula and Baby Food,Nestle Canada,Nestle Canada Baby Cereal,Undeclared allergen,Class I,Serious health risk or death,3,9,2.7,Ontario,Nestle Canada is conducting a voluntary recall of Baby Cereal due to the possible presence of undeclared peanuts.
RC-0443,2023-12-08,2023-12,2023,Pharmaceuticals,Pendopharm,Pendopharm Acetaminophen,Chemical contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,8,1.6,Alberta,Recall of Acetaminophen by Pendopharm because the product may contain lead at levels that exceed Health Canada guidelines.
RC-0576,2023-12-09,2023-12,2023,Meat and Poultry,Olymel,Olymel Chicken Wings,Foreign material,Class II,Temporary adverse health consequences unlikely to be serious,2,7,1.4,Ontario,Recall of Chicken Wings because the product may contain pieces of rubber pieces which were not intended to be in the product.
RC-0060,2023-12-10,2023-12,2023,Infant Formula and Baby Food,Gerber Canada,Gerber Canada Infant Formula,Microbiological contamination,Class III,Unlikely to cause adverse health consequences,1,10,1.0,Ontario,Gerber Canada is recalling certain lots of Infant Formula due to possible Salmonella contamination detected during routine testing.
RC-0700,2023-12-11,2023-12,2023,Medical Devices,Cardinal Health Canada,Cardinal Health Canada Infusion Pump,Foreign material,Class I,Serious health risk or death,3,7,2.1,New Brunswick,Cardinal Health Canada is recalling Infusion Pump after foreign material (metal fragments) was found during production.
RC-0307,2023-12-15,2023-12,2023,Medical Devices,Medtronic Canada,Medtronic Canada Thermometer,Labelling error,Class II,Temporary adverse health consequences unlikely to be serious,2,4,0.8,Ontario,Medtronic Canada is recalling Thermometer due to a labelling error. The label does not accurately reflect the contents of the package.
RC-0840,2023-12-16,2023-12,2023,Meat and Poultry,Better Beef,Better Beef Chicken Wings,Process deviation,Class I,Serious health risk or death,3,6,1.8,British Columbia,Better Beef is recalling Chicken Wings because a deviation from standard manufacturing practice occurred during production.
RC-0549,2023-12-17,2023-12,2023,Meat and Poultry,Olymel,Olymel Pork Sausage,Microbiological contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,10,2.0,Ontario,Olymel is recalling Pork Sausage due to possible Salmonella contamination.
RC-0720,2023-12-25,2023-12,2023,Dairy and Eggs,Lactalis Canada,Lactalis Canada Cream Cheese,Packaging failure,Class III,Unlikely to cause adverse health consequences,1,5,0.5,Newfoundland and Labrador,Recall of Cream Cheese because of a seal failure that may allow contamination of the product.
RC-0758,2023-12-25,2023-12,2023,Dairy and Eggs,Organic Meadow,Organic Meadow Egg Product,Chemical contamination,Class I,Serious health risk or death,3,8,2.4,Ontario,Organic Meadow is recalling Egg Product due to elevated levels of cadmium.
RC-0633,2023-12-26,2023-12,2023,Bakery and Snacks,Canada Bread,Canada Bread Muffins,Undeclared allergen,Class II,Temporary adverse health consequences unlikely to be serious,2,9,1.8,Ontario,Recall of Muffins by Canada Bread because the product may contain undeclared eggs which is not declared on the label.
RC-0013,2023-12-27,2023-12,2023,Pharmaceuticals,Pendopharm,Pendopharm Acetaminophen,Undeclared sulphites,Class II,Temporary adverse health consequences unlikely to be serious,2,6,1.2,British Columbia,Recall of Acetaminophen because the product may contain undeclared sulphites which are not declared on the label.
